"date","total_steps","weekday","weekend","change_from_previous_day","percent_change_from_previous_day"
2024-05-26,6057,"Sunday","Weekend",-6187,-50.530872263966
2024-05-27,7779,"Monday","Weekday",1722,28.4299157999009
2024-05-28,6277,"Tuesday","Weekday",-1502,-19.3083943951665
2024-05-29,8143,"Wednesday","Weekday",1866,29.7275768679305
2024-05-30,9029,"Thursday","Weekday",886,10.8805108682304
2024-05-31,11674,"Friday","Weekday",2645,29.2944955144534
2024-06-01,14744,"Saturday","Weekend",3070,26.2977556964194
2024-06-02,11585,"Sunday","Weekend",-3159,-21.4256646771568
2024-06-03,9543,"Monday","Weekday",-2042,-17.6262408286577
2024-06-04,11391,"Tuesday","Weekday",1848,19.3649795661742
2024-06-05,10731,"Wednesday","Weekday",-660,-5.79404793257835
2024-06-06,12493,"Thursday","Weekday",1762,16.4197185723605
2024-06-07,14690,"Friday","Weekday",2197,17.585848074922
2024-06-08,14547,"Saturday","Weekend",-143,-0.973451327433628
2024-06-09,16009,"Sunday","Weekend",1462,10.0501821681446
2024-06-10,8407,"Monday","Weekday",-7602,-47.4857892435505
2024-06-11,13347,"Tuesday","Weekday",4940,58.760556678958
2024-06-12,12413,"Wednesday","Weekday",-934,-6.99782722709223
2024-06-13,6953,"Thursday","Weekday",-5460,-43.9861435591718
2024-06-14,4496,"Friday","Weekday",-2457,-35.3372644901481
2024-06-15,17936,"Saturday","Weekend",13440,298.932384341637
2024-06-16,1529,"Sunday","Weekend",-16407,-91.4752453166815
2024-06-17,9162,"Monday","Weekday",7633,499.215173315893
2024-06-18,11632,"Tuesday","Weekday",2470,26.9591792185112
2024-06-19,11633,"Wednesday","Weekday",1,0.00859697386519945
2024-06-20,14501,"Thursday","Weekday",2868,24.6540015473223
2024-06-21,13722,"Friday","Weekday",-779,-5.37204330735811
2024-06-22,15394,"Saturday","Weekend",1672,12.1848127095176
2024-06-23,12902,"Sunday","Weekend",-2492,-16.1881252436014
2024-06-24,6696,"Monday","Weekday",-6206,-48.1010696016122
2024-06-25,9959,"Tuesday","Weekday",3263,48.7305854241338
2024-06-26,3921,"Wednesday","Weekday",-6038,-60.6285771663822
2024-06-27,1968,"Thursday","Weekday",-1953,-49.8087222647284
2024-06-28,585,"Friday","Weekday",-1383,-70.2743902439024
2024-06-29,2640,"Saturday","Weekend",2055,351.282051282051
2024-06-30,2593,"Sunday","Weekend",-47,-1.78030303030303
2024-07-01,2775,"Monday","Weekday",182,7.01889703046664
2024-07-02,8144,"Tuesday","Weekday",5369,193.477477477477
2024-07-03,10741,"Wednesday","Weekday",2597,31.8885068762279
2024-07-04,13141,"Thursday","Weekday",2400,22.3442882413183
2024-07-05,7200,"Friday","Weekday",-5941,-45.2096491895594
2024-07-06,8014,"Saturday","Weekend",814,11.3055555555556
2024-07-07,6783,"Sunday","Weekend",-1231,-15.3606189168954
2024-07-08,11501,"Monday","Weekday",4718,69.5562435500516
2024-07-09,10896,"Tuesday","Weekday",-605,-5.26041213807495
2024-07-10,12213,"Wednesday","Weekday",1317,12.0870044052863
2024-07-11,11624,"Thursday","Weekday",-589,-4.82272987799885
2024-07-12,12154,"Friday","Weekday",530,4.55953200275292
2024-07-13,7128,"Saturday","Weekend",-5026,-41.3526411058088
2024-07-14,15190,"Sunday","Weekend",8062,113.103254769921
2024-07-15,12694,"Monday","Weekday",-2496,-16.4318630678078
2024-07-16,17618,"Tuesday","Weekday",4924,38.7899795178825
2024-07-17,9344,"Wednesday","Weekday",-8274,-46.9633329549325
2024-07-18,15602,"Thursday","Weekday",6258,66.9734589041096
2024-07-19,12047,"Friday","Weekday",-3555,-22.7855403153442
2024-07-20,6270,"Saturday","Weekend",-5777,-47.9538474308957
2024-07-21,9168,"Sunday","Weekend",2898,46.2200956937799
2024-07-22,7446,"Monday","Weekday",-1722,-18.782722513089
2024-07-23,11906,"Tuesday","Weekday",4460,59.8979317754499
2024-07-24,7815,"Wednesday","Weekday",-4091,-34.3608264740467
2024-07-25,11590,"Thursday","Weekday",3775,48.3045425463852
2024-07-26,12039,"Friday","Weekday",449,3.87402933563417
2024-07-27,17792,"Saturday","Weekend",5753,47.786360993438
2024-07-28,16385,"Sunday","Weekend",-1407,-7.90804856115108
2024-07-29,14018,"Monday","Weekday",-2367,-14.4461397619774
2024-07-30,2966,"Tuesday","Weekday",-11052,-78.8414895134827
2024-07-31,1415,"Wednesday","Weekday",-1551,-52.2926500337154
2024-08-01,16404,"Thursday","Weekday",14989,1059.29328621908
2024-08-02,7042,"Friday","Weekday",-9362,-57.0714459887832
2024-08-03,14400,"Saturday","Weekend",7358,104.487361545016
2024-08-04,10726,"Sunday","Weekend",-3674,-25.5138888888889
2024-08-05,13023,"Monday","Weekday",2297,21.4152526570949
2024-08-06,17698,"Tuesday","Weekday",4675,35.898026568379
2024-08-07,7592,"Wednesday","Weekday",-10106,-57.1024974573398
2024-08-08,14020,"Thursday","Weekday",6428,84.668071654373
2024-08-09,10372,"Friday","Weekday",-3648,-26.0199714693295
2024-08-10,13761,"Saturday","Weekend",3389,32.6745082915542
2024-08-11,19967,"Sunday","Weekend",6206,45.0984666812005
