"date","total_steps","weekday","weekend","change_from_previous_day","percent_change_from_previous_day"
2024-08-12,6116,"Monday","Weekday",-13851,-69.3694596083538
2024-08-13,6837,"Tuesday","Weekday",721,11.7887508175278
2024-08-14,8164,"Wednesday","Weekday",1327,19.4090975574082
2024-08-15,6432,"Thursday","Weekday",-1732,-21.2150906418422
2024-08-16,9742,"Friday","Weekday",3310,51.4614427860697
2024-08-17,1048,"Saturday","Weekend",-8694,-89.2424553479778
2024-08-18,8052,"Sunday","Weekend",7004,668.320610687023
2024-08-19,5778,"Monday","Weekday",-2274,-28.2414307004471
2024-08-20,3554,"Tuesday","Weekday",-2224,-38.490827275874
2024-08-21,11909,"Wednesday","Weekday",8355,235.087225661227
2024-08-22,8585,"Thursday","Weekday",-3324,-27.9116634478126
2024-08-23,6483,"Friday","Weekday",-2102,-24.4845661036692
2024-08-24,1559,"Saturday","Weekend",-4924,-75.9524911306494
2024-08-25,2777,"Sunday","Weekend",1218,78.1270044900577
2024-08-26,8655,"Monday","Weekday",5878,211.667266834714
2024-08-27,18609,"Tuesday","Weekday",9954,115.008665511265
2024-08-28,10959,"Wednesday","Weekday",-7650,-41.1091407383524
2024-08-29,15491,"Thursday","Weekday",4532,41.3541381512912
2024-08-30,12923,"Friday","Weekday",-2568,-16.5773675037118
2024-08-31,18322,"Saturday","Weekend",5399,41.7782248703861
2024-09-01,2991,"Sunday","Weekend",-15331,-83.6753629516428
2024-09-02,17787,"Monday","Weekday",14796,494.684052156469
2024-09-03,4890,"Tuesday","Weekday",-12897,-72.5080114690504
2024-09-04,7161,"Wednesday","Weekday",2271,46.441717791411
2024-09-05,4547,"Thursday","Weekday",-2614,-36.503281664572
2024-09-06,9009,"Friday","Weekday",4462,98.1306355839015
2024-09-07,5922,"Saturday","Weekend",-3087,-34.2657342657343
2024-09-08,7615,"Sunday","Weekend",1693,28.5883147585275
2024-09-09,11829,"Monday","Weekday",4214,55.3381483913329
2024-09-10,4086,"Tuesday","Weekday",-7743,-65.4577732690845
2024-09-11,6964,"Wednesday","Weekday",2878,70.4356338717572
2024-09-12,6923,"Thursday","Weekday",-41,-0.588742102240092
2024-09-13,6274,"Friday","Weekday",-649,-9.37454860609562
2024-09-14,4335,"Saturday","Weekend",-1939,-30.905323557539
2024-09-15,16305,"Sunday","Weekend",11970,276.124567474048
2024-09-16,9308,"Monday","Weekday",-6997,-42.9132168046611
2024-09-17,12244,"Tuesday","Weekday",2936,31.5427589170606
2024-09-18,11377,"Wednesday","Weekday",-867,-7.08101927474682
2024-09-19,15958,"Thursday","Weekday",4581,40.265447833348
2024-09-20,10920,"Friday","Weekday",-5038,-31.5703722270961
2024-09-21,2409,"Saturday","Weekend",-8511,-77.9395604395604
2024-09-22,5322,"Sunday","Weekend",2913,120.921544209215
2024-09-23,3538,"Monday","Weekday",-1784,-33.521232619316
2024-09-24,6373,"Tuesday","Weekday",2835,80.1300169587337
2024-09-25,8163,"Wednesday","Weekday",1790,28.0872430566452
2024-09-26,15129,"Thursday","Weekday",6966,85.3362734288864
2024-09-27,7322,"Friday","Weekday",-7807,-51.6028818824774
2024-09-28,14309,"Saturday","Weekend",6987,95.4247473367932
2024-09-29,4100,"Sunday","Weekend",-10209,-71.3467048710602
2024-09-30,6422,"Monday","Weekday",2322,56.6341463414634
2024-10-01,2563,"Tuesday","Weekday",-3859,-60.0903145437558
2024-10-02,7102,"Wednesday","Weekday",4539,177.097151775263
2024-10-03,11228,"Thursday","Weekday",4126,58.0963108983385
2024-10-04,6746,"Friday","Weekday",-4482,-39.9180619878874
2024-10-05,9627,"Saturday","Weekend",2881,42.7067892084198
2024-10-06,1479,"Sunday","Weekend",-8148,-84.6369585540667
2024-10-07,11952,"Monday","Weekday",10473,708.113590263692
2024-10-08,2787,"Tuesday","Weekday",-9165,-76.6817269076305
2024-10-09,5833,"Wednesday","Weekday",3046,109.293146752781
2024-10-10,7384,"Thursday","Weekday",1551,26.590090862335
2024-10-11,6218,"Friday","Weekday",-1166,-15.7908992416035
2024-10-12,2435,"Saturday","Weekend",-3783,-60.8394982309424
2024-10-13,3560,"Sunday","Weekend",1125,46.2012320328542
2024-10-14,13490,"Monday","Weekday",9930,278.932584269663
2024-10-15,4891,"Tuesday","Weekday",-8599,-63.7435137138621
2024-10-16,7313,"Wednesday","Weekday",2422,49.5195256593744
2024-10-17,13570,"Thursday","Weekday",6257,85.5599617120197
2024-10-18,11071,"Friday","Weekday",-2499,-18.415622697126
2024-10-19,140,"Saturday","Weekend",-10931,-98.7354349200614
2024-10-20,2318,"Sunday","Weekend",2178,1555.71428571429
2024-10-21,9625,"Monday","Weekday",7307,315.228645383952
2024-10-22,8837,"Tuesday","Weekday",-788,-8.18701298701299
2024-10-23,9447,"Wednesday","Weekday",610,6.90279506619894
2024-10-24,14683,"Thursday","Weekday",5236,55.4250026463428
2024-10-25,16277,"Friday","Weekday",1594,10.8560920792754
2024-10-26,18838,"Saturday","Weekend",2561,15.7338575904651
2024-10-27,13442,"Sunday","Weekend",-5396,-28.6442297483809
2024-10-28,11551,"Monday","Weekday",-1891,-14.0678470465705
2024-10-29,9155,"Tuesday","Weekday",-2396,-20.7427928317895
2024-10-30,10059,"Wednesday","Weekday",904,9.87438558164937
2024-10-31,11950,"Thursday","Weekday",1891,18.7990853961626
2024-11-01,14306,"Friday","Weekday",2356,19.7154811715481
2024-11-02,13779,"Saturday","Weekend",-527,-3.68376904795191
2024-11-03,6955,"Sunday","Weekend",-6824,-49.5246389433195
2024-11-04,14249,"Monday","Weekday",7294,104.874191229331
2024-11-05,8383,"Tuesday","Weekday",-5866,-41.1678012492105
2024-11-06,14011,"Wednesday","Weekday",5628,67.1358702135274
2024-11-07,15221,"Thursday","Weekday",1210,8.63607165798301
2024-11-08,21021,"Friday","Weekday",5800,38.1052493265883
2024-11-09,16455,"Saturday","Weekend",-4566,-21.7211360068503
2024-11-10,18857,"Sunday","Weekend",2402,14.597386812519
2024-11-11,7697,"Monday","Weekday",-11160,-59.1822665323222
2024-11-12,12556,"Tuesday","Weekday",4859,63.1284916201117
2024-11-13,10978,"Wednesday","Weekday",-1578,-12.5676967187002
2024-11-14,9855,"Thursday","Weekday",-1123,-10.2295500091091
2024-11-15,6589,"Friday","Weekday",-3266,-33.140537798072
2024-11-16,12968,"Saturday","Weekend",6379,96.8128699347397
2024-11-17,5290,"Sunday","Weekend",-7678,-59.2072794571252
2024-11-18,9287,"Monday","Weekday",3997,75.5576559546314
2024-11-19,9582,"Tuesday","Weekday",295,3.17648325616453
2024-11-20,8317,"Wednesday","Weekday",-1265,-13.2018367772908
2024-11-21,13937,"Thursday","Weekday",5620,67.5724419862931
2024-11-22,5755,"Friday","Weekday",-8182,-58.7070388175361
2024-11-23,8696,"Saturday","Weekend",2941,51.1033883579496
2024-11-24,6688,"Sunday","Weekend",-2008,-23.0910763569457
2024-11-25,5353,"Monday","Weekday",-1335,-19.9611244019139
2024-11-26,11715,"Tuesday","Weekday",6362,118.849243414908
2024-11-27,4652,"Wednesday","Weekday",-7063,-60.2902262057192
